,Unnamed: 0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24
0,0,42.0,42.0,0.046621875303614,0.0981501150559669,0.6538092308005136,0.7016426668509438,0.3627554680957457,0.1774682468713123,0.4829950884093138,0.5338260286937265,0.4035219062218589,0.3757024512868337,0.0475708442472196,0.8963940593536637,0.7448412344039471,0.1877902254317153,42.0,42.0,42.0,0.3843918445384174,0.4227306282250371,0.095791240437781,0.9130644490735476,0.1369839646773106
1,1,42.0,42.0,42.0,42.0,42.0,0.880921548311052,0.9987166166808128,0.2372025756328504,0.4705988647511284,0.4019983313993056,0.9916344190757016,0.3799439706807276,0.2930591852880853,0.8332801621917127,0.4664724080411636,0.6602008050016689,0.3229155638454877,0.3985552369570289,0.5517805655025173,0.8760443432563841,0.1044622620241355,0.1032800846132827,0.5607172114525063,0.8500478992608148
2,2,0.5342550177061841,0.2342356213110421,0.3711856707954557,0.8061679771632486,0.7571336350779424,42.0,42.0,42.0,0.4373309078361511,0.3169832399612317,0.1592169955534165,0.7897347693482015,0.3024738831105704,0.2797981951655202,0.8240911300709401,0.3761852516398519,0.1424499262422119,0.6250577028500436,0.5085983531775626,0.3522778018422814,0.5636504107376007,0.6359047526847649,0.2187645921211544,0.1500679343835074
3,3,0.9217922185559672,0.5869637113020778,0.2980823648123533,0.5046451800596314,0.1325607377337871,0.642721960572344,42.0,42.0,42.0,0.26941587042641,0.1920972517082324,0.0362811554438792,0.8514193485961677,0.5373967279253131,0.4074151444146032,0.2080209426747901,0.1642352190579861,0.3586182196300882,0.3994071150507052,0.6515880301651901,0.1984894579238699,0.3720197583045654,0.461320237818322,0.7751602419247203
4,4,0.801521761109869,0.1218755732867927,0.8454525080820554,0.4151589534603065,0.3572468966282877,0.4687854356992071,0.5668971197682289,0.5632889228259477,42.0,42.0,42.0,0.7398553515229785,0.858766895147188,0.9889828277522872,0.9333862653768126,0.7303255646649358,0.2780720886049771,0.4118257081236142,0.9984962552544095,0.5397254304204003,0.5317505913151884,0.1155622622373833,0.3543589831671109,0.2111343760886386
5,5,0.5965670073946365,0.3207711577132685,0.6091735855820124,0.3273310232521186,0.0914440537704694,0.1470364115010222,0.4558141685996627,0.0399527447924582,0.301624855141286,0.0853646491060674,0.0828244477100093,42.0,42.0,42.0,42.0,0.4231177714896357,0.3424540069271505,0.1126648924691476,0.8015019792079741,0.5104168914508719,0.9207889142283344,0.4277143095408223,0.5091213700851596,0.5300178718922101
6,6,0.724621372670303,0.3168148483911308,0.1835646661117395,0.7989216630478091,0.8750446858921205,0.3730217778548633,0.5298548800005911,0.8107278639127412,0.1393363387075938,0.146937957205032,0.4635721777241073,0.4684671268374706,0.8375653752812098,0.8283797004659913,0.6949025003988122,42.0,42.0,42.0,0.6222725686354701,42.0,0.5476114201809839,0.937410046247353,0.3236510561244304,0.760927457630412
7,7,0.2522690733566954,0.7922759452493673,0.309797398870463,0.4077695530653693,0.7134154208746386,0.3393092728101181,0.6994998317062027,0.5161490463635493,0.031954884517891,0.7360643291393009,0.1415061975744528,0.4959059236541075,0.1544503567294703,0.3115271736580709,0.5201410296826864,0.5700374530696545,0.8426369320674199,0.4609903463549022,0.508566776739469,0.6123024323519596,42.0,42.0,42.0,42.0
8,8,0.3334414171009402,0.6901433104159392,0.3287706418548117,0.887829826028741,0.0881660254869867,0.4672864112523165,0.039157763065285,0.1180991150585845,0.376544213959973,0.6746952717393812,0.6508435771207207,0.3872449950423159,0.4924102123201083,0.3210385224639676,0.4663192736986872,0.3996739657657695,0.1163463134558684,0.3558453682293732,0.8583695424509514,0.2521104714557527,42.0,42.0,42.0,42.0
9,9,42.0,42.0,0.7630926442880583,0.0007533217775046,0.924556145117735,0.0189374574019572,0.3314662273841592,0.007081046759073,0.8509395542430455,0.8878064547426266,0.810020403062325,0.2777738099224549,0.732821193542144,0.2090504740717523,0.349938040532561,0.7622139360172419,42.0,42.0,42.0,0.7235745087818838,0.2173113724672728,0.7087993416278913,0.1523749538647669,0.1299773468497016
